"Item","Qty","Reference(s)","Value","lcsc","manf#"
"1","2","C1, C10","3.3uF","C76663",""
"2","2","C2, C3","390pF","C376830",""
"3","4","C4, C5, C6, C7","1uF","C26413",""
"4","2","C8, C9","0.1uF","C149620",""
"5","1","D1","NZH10C","C551630","NZH10C,115"
"6","1","D2","Fault","C84268",""
"7","1","D3","Power","C118330",""
"8","1","J1","Vout","",""
"9","1","P1","USB_C_Plug_USB2.0","C393939",""
"10","2","Q1, Q2","SI3421DV","C144884","SI3421DV-T1-GE3"
"11","2","R1, R5","2.4K","C98728",""
"12","4","R2, R6, R13, R18","1K","C115325",""
"13","1","R3","0R","","ERJ-3GEY0R00V"
"14","5","R4, R7, R8, R9, R10","5.1K","C131715",""
"15","5","R11, R14, R15, R16, R17","10K","C99198",""
"16","1","R12","50K","C304067",""
"17","1","SW1","Voltage","C145846","K3-1410S-E1"
"18","1","SW2","Current","C145846","K3-1410S-E1"
"19","1","U1","CYPD3177-24LQXI","","CYPD3177-24LQXQ"
